job_add,job_duty,job_name,job_require,job_time,job_type
深圳,"负责蓝鲸DevOps平台开发，维护，优化；
负责系统的可用性、容灾等方面的建设；
负责关键技术研究，承担DevOps平台后台的核心模块设计，开发。",25923-Java高级工程师（深圳）,"计算机相关专业本科及以上学历，3年以上Java开发经验；
精通Java体系，Gradle，Maven，Git等常用工具的使用, 熟悉JVM；
精通Spring、SpringBoot、MyBatis、JOOQ、Flyway、SpringMVC等应用框架并熟悉实现原理；
熟悉分布式缓存、消息中间件、RPC框架、负载均衡、安全防御等技术，掌握各类中间件使用，包括Consul、Redis、Nginx、Tomcat、Elasticsearch、Feigh等；
熟练主流数据库MySql/NoSQL如Redis、MongoDB，具备优秀的数据建模能力和数据库分库分表设计能力；
了解持续集成，持续部署，包括Jenkins，Gocd等开源软件；
责任心强，具备良好的问题分析能力、对外沟通能力和团队协作能力，能独立承担任务和有系统进度把控能力。",2020年07月01日,技术
深圳,"负责前端动态化框架、移动端APP和后台的Devops工具链整体技术规划和建设，研究和引入新的技术、方法和组件
负责基础架构组件或工具平台的研发、搭建及核心代码编写
负责带领团队参与先进的研发协作模式，建立优秀工程实践
有技术视野，深入技术细节，乐于接受各种技术挑战",PCG04-Infra Engineer/Architect架构师（深圳）,"具有5年以上研发、架构或工具平台开发经验，至少熟练掌握Java/Object C/C++/Go中的一种
有较为丰富的移动端APP架构设计和优化经验者优先，如依赖分析/解耦和技术债优化等方面
熟悉微服务框架、高并发、多线程开发和分布式系统，对Service Mesh熟悉优先
有强烈的责任心和团队合作精神，良好的抗压能力；关注业界先进技术，具备很好的技术热情
有大型互联网项目的Devops工具平台建设经验者优先",2020年07月13日,技术
深圳,负责腾讯广告数据发布系统建设；,30628-腾讯广告数据发布系统工程师（深圳）,"1.   熟练掌握C++/python/go/java中一种以上编程语言；
2、熟悉Linux操作系统，有大型分布式系统后台工程开发经验；
3、有Databus/Kafka/Pulsar/CockroachDB经验的优先考虑；
4、思维清晰，负责进取，耐心细致，沟通能力强；",2020年07月13日,技术
北京,"您需要擅长以下的两到三项：
主导数据产品的开发，包含数仓的建立、数据的挖掘、清洗以及建立智能决策引擎；
研究、建立业务指标体系，做数据分析来产生洞察从而支持人为决策制定，最大化腾讯视频的增长；
共建实验平台，提升实验平台的准确性和可用性；
建立机器学习模型来分析运营活动、广告活动、return on content (ROC)、用户获取、激活、存留、
利用对业务、视频、内容领域的理解，通过数剧挖掘、特征工程建设、研究采用不同的算法来提升腾讯视频各端推荐系统架构建设；
参与平台数据科学功能建设，包含算法平台中心构建算法模型标准化和不同场景接口标准化来给搜索、推荐、增长、数据挖掘等赋能。
",38661-腾讯视频数据科学（北京）,"拥有统计学、数学、运筹学、经济学、计算机科学等学科的本科或以上学历；
2年以上数据、数据分析、数据工程、实验和商业智能方面的应用经验；
有挖掘数据、产生数据驱动的洞察，并通过洞察影响业务决策的经验；
有使用SQL、R，Python，C/C++，Java等分析大型数据和建模的经验。",2020年07月13日,技术
北京,"1、负责Android、iOS 应用的逆向工作
2、对核心数据结构、关键逻辑、关键算法，能还原提取数据，提供关键算法正向实现
3、对公司部门的app进行安全测试和评估，提供安全加固工作
",CSIG16-高级安全工程师 ,"要求掌握移动安全/逆向分析/漏洞挖掘/二进制/脚本编写等知识，具备以下一项或多项能力：
1、精通Android逆向/ios逆向技术，熟练使用OD、windbg、IDA等调试、逆向工具；熟悉可执行文件格式及各种保护壳，具有一定的脱壳经验，了解常用加解密算法。
2、精通至少一种脚本/语言，如Python、JavaScript、VBScript、Java、C/C++等；熟练阅读和理解反汇编代码，至少有2年以上的实际app逆向经验。
3、熟悉移动平台(Android/iOS)系统知识及其上应用安全，有实际漏洞挖掘经验；了解手机病毒/恶意软件工作机理；熟悉汇编、smali语言，具备反汇编能力。
4、有安全工具开发工作经验和兴趣。
5、有CTF比赛经验、有独立提交高风险漏洞获取CVE经验者优先。
6、有较强的学习能力和钻研精神，对逆向工程有浓厚兴趣",2020年07月13日,技术
广州,"负责企业微信Web前端开发和优化工作；
支持前端工程化建设，包括流程、规范、工具的建设等。",WXG10-企业微信web前端开发工程师-私有化（广州）,"熟练掌握JavaScript、HTML、CSS和HTTP协议等Web开发所需技能；
熟悉在线协作文档技术者优先；
熟悉并掌握常用的数据结构，有优秀的算法能力；
有优秀的分析、解决问题的能力；
有良好的责任心和主动性，良好的团队协作能力。",2020年07月14日,技术
深圳,"负责互动阅读产品，轻游戏产品客户端研发工作；
参与设计良好的App架构，参与组件化的设计与开发；
负责版本持续优化，如内存、性能、适配、体验等调优工作。
",37087-安卓/IOS客户端开发,"本科及以上学历，3年以上移动客户端开发经验；
沟通表达能力好，具有良好的团队合作精神；
精通至少一个移动客户端平台（Android、iOS）的运行机制和架构体系； 
精通C/C++/OC/Swift/Java其中一种；
具备扎实的数据结构、算法分析基础，熟悉常用设计模式、多线程、网络、界面开发；
具有良好的分析和解决问题能力，具备出色的程序优化、调试能力；
拥有前端/混合开发技术栈经验者优先，有flutter开发经验者更佳。",2020年07月14日,技术
深圳,"负责腾讯云计费系统的架构设计和研发工作；
负责腾讯云计费系统稳定性提升工作；
负责腾讯云计费系统重构工作。",22989-腾讯云计费后台开发工程师（深圳）,"计算机相关专业本科以上学历，3年以上工作经验；
熟悉linux环境下的C/C++/JAVA开发，抽象能力好；
熟悉负责系统解耦，具有较好的系统分析设计能力；
熟悉互联网业务开发和mysql数据库；
熟悉大中型网站后台架构，有大型系统的重构经验，有高可用系统实践经验者优先。  通过腾讯云技术认证或同等资格认证的优先录取。",2020年07月15日,技术
深圳,"负责web前端页面开发、维护和优化工作；
负责页面相关接入层开发；
负责前端架构建设，公共组件的设计开发；
与后端工程师对接共同协作完成项目。",23292-互娱前端开发工程师,"本科以上学历，3年以上前端相关工作经验，在技术的应用上有一定的创新能力；
热爱游戏，对游戏的运营和营销有一定的了解；
熟悉Web标准，能熟练运用HTML、CSS、JavaScript构建高性能的PC和移动页面；
熟悉移动端各类互动传播页面的开发以及相应问题的处理；
对可用性、安全、网络等相关知识有实际了解和实践经验；
熟悉主流前端组件框架，并能熟练借助Web调试工具定位开发问题；
思路清晰，具备良好的沟通能力和团队协作精神，并能承受一定的工作压力；
有小程序、PHP/Node、WebGL等开发经验者优先。",2020年07月15日,技术
深圳,"负责游戏整体的质量把控，制定测试计划方案、并跟踪实施，监控项目外网质量，并能及时响应突发问题；
负责优化、提高团队与项目组之间的良好沟通渠道，以及测试效率和输出质量；
负责分析业务测试需求，探索更多的测试手段和维度，帮助提升部门的测试质量、效率和深度；
负责游戏专项测试工具的开发、维护和完善。",25927-游戏测试经理,"本科以上学历，计算机相关专业，有3年以上游戏测试经验，有具有快速熟悉业务流程和优化，并建立完善质量体系的能力；
有全局观，对质量体系、流程、测试风险把握、测试范畴的定义有很好的理解和应用，具有移动互联网相关经验(Android、iOS)尤佳；
熟悉至少一门开发或者脚本语言，C++、C、C#、Java、PHP、Python等；
优秀的执行力和抗压能力，热爱游戏测试，乐于主动反馈和积极思考。",2020年07月16日,技术
深圳,"分布式大数据系统开发、计算性能调优、 高性能服务框架设计与开发； 
参与项目的架构设计、评审、技术攻坚及优化； 
参与系统文档的撰写、维护。",PCG04-高级大数据开发工程师,"本科以上学历，计算机或相关专业；
3年以上Linux后台开发经验，有大规模系统开发经验；
熟悉Java/go/Python；
熟悉flink/blink/spark streaming等流式数据处理；
具有Hadoop/Spark/Hbase/impala/druid/kylin/clickhouse等分布式计算平台的使用和一定性能优化经验；
熟悉mysql/PG/oracle等数据库使用和一定SQL优化经验；
熟悉常用大数据开源组件；
有高并发、大容量后台服务系统设计经验；
具有良好的学习能力、沟通能力、团队合作意识；
强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长",2020年07月16日,技术
北京,"负责视频素材开放平台运营后台的前端开发；
与后端开发人员和运营人员紧密配合，优化运营后台工作流程和提升运营效率。",WXG01-微信视频剪辑前端开发工程师,"具有扎实的编程功底，良好的设计能力和编程习惯，熟练掌握 Javascript，CSS，HTML5， node.js；
熟悉 Vue.js 框架及各种特性；
具备良好的分析解决问题能力；
具备良好的沟通能力和优秀的团队协作能力。",2020年07月17日,技术
