job_add,job_duty,job_name,job_require,job_time,job_type
长沙,"1. 负责腾讯云域名产品（DNSPod）及备案系统的后端开发； 
2. 负责域名管理相关功能的实现，包括域名注册、解析等功能开发； 
3. 负责域名管理系统的架构规划、性能优化等工作； 
4. 负责备案系统的功能开发。
注：""此岗位为腾讯集团旗下全资子公司编制岗位""",22989-腾讯云域名产品PHP后端研发工程师（腾讯云全资子公司）,"1. 熟练使用PHP；至少熟悉并使用过其中一种PHP开源框架（如：CI、Laravel、Lumen等）；有PHP项目的实战经验；
2. 熟练使用mysql/redis/memcache等数据库；有mysql性能调优经验；
3. 有域名注册、解析、SSL证书等相关产品的技术研发经验优先；
4. 良好的理解沟通能力，合理进行任务分解，并以模块化的思维进行代码设计；
5. 具有良好的代码风格、接口设计规范；
6. 具有大型运营系统、整站开发经验者优先；
7. 至少3年工作经验，本科及以上学历；
8. 熟悉云计算、有云产品使用经验者优先。
注：""此岗位为腾讯集团旗下全资子公司编制岗位""",2020年06月29日,技术
深圳,"负责公司级研发及运营平台的开发，致力于提升公司在具体领域内的研发及运营效率，服务于公司所有研发&运维人员，涉及的内容包括软件源、配置中心等；
负责研发效能相关平台的研发，致力于提升基础的研发效率，涉及的内容包括CI、发布、监控、日志数据平台等；
负责运营体系、运营平台的建设，致力于提升部门业务的运营效率、运营质量。",TEG14-研发效能开发工程师（北京/上海/深圳）（深圳）,"精通Unix/Linux操作系统、Bash、C/C++，良好的编码规范；
具备2年以上开发经验，至少熟悉1种开发语言：PHP、Java、Rubby、Python、Perl；
具有良好的学习能力、沟通能力、服务理念和合作精神；
强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长；
有数据仓库建设经验，熟悉python和web前端开发优先；
有运维自动化、监控系统、发布系统、运营支撑系统等开发经验者优先；
有大型分布式系统设计与开发经验者优先。",2020年06月08日,技术
北京,"1.推动AI大数据方案在传统企业（如工业、能源、传媒等）的落地应用，针对客户场景、需求及数据状况进行需求分析和详细技术方案设计；
2.根据不同的网络环境、硬件环境设计传统企业的AI+大数据+云计算的服务架构，提供IaaS/SaaS/PaaS/DaaS不同层级的解决方案；
3.确保重点项目的拆解和落地，推进项目实施以及解决方案可复制，推动跨部门合作，推动架构和产品优化；
4.分析行业技术发展变革方向，针对云服务特点在行业解决方案上进行前瞻性布局。",29777-腾讯云企业数据智能方案架构师（北京/上海/深圳）,"1.熟悉AI大数据相关技术，有3年以上的AI大数据落地应用经验，能够独立完成符合业务需求的大数据系统方案设计并推动落地实施，熟悉高并发处理机制，有海量业务的架构、研发、运维、优化经验；
2.有一定的服务端开发、运维经验，熟悉TensorFlow/PyTorch等深度学习框架，掌握Java/Scala/Python/PHP/C/C++/Go至少一种开发语言以及对应开发框架；
3.熟悉Hadoop、Mysql、PostgreSQL、NoSQL、Oracle、Teradata、DB2等数据库中至少一种数据中心建设方案，可以进行产品的独立部署、高可用架构和性能优化，熟悉开源社区解决方案；
4.有成功的传统企业AI大数据应用经验，有面向客户沟通交流、调研需求、宣讲架构的能力；
5.熟悉网络架构、虚拟化、分布式存储，深入理解IT基础设施领域，如服务器、网络设备的技术和架构，有AI大数据交付经验优先；
6.具备团队合作经验，学习能力强，抗压能力强；
7.具备良好的文档能力，善于总结沟通，清晰表达技术观点和架构意图，能熟练的编写技术文档；
8.有一定的项目管理经验，能进行需求管理、期望管理、团队协作管理，有和ISV管理合作经验优先；
9.有PMP认证优先。  通过腾讯云技术认证或同等资格认证的优先录取。",2020年06月11日,技术
北京,"1，负责腾讯医疗资讯与服务部门的医药业务的前端开发工作；
2，参与需求分析、评审、代码逻辑实现、发布上线流程；
3，要求积极主动，有一定的抗压能力；",21882-智慧医药前端开发,"1，计算机或相关专业，本科及以上学历；
2，扎实的前端基础，精通javascript，html，css
3，掌握linux操作系统常用命令，和计算机网络等专业知识；
4，了解前端主流框架（vue/react/angular），至少熟练使用过一种；
5，对前端性能优化有一定的了解，有过优化方面的具体经验；
6，熟悉web应用开发，对http，tcp/ip协议了解；
7，掌握一种服务端语言（nodejs/python/php）
8，具有较强的沟通能力和团队合作精神；
9，具有良好的解决分析问题的能力 和学习能力；",2020年06月16日,技术
深圳,参与腾讯看点信息流商业化建设，开发高质量的广告形态和广告系统，探索新型广告交互形式，打造业界领先的广告前端团队；,35603-腾讯看点前端开发工程师,"1、本科及以上学历，计算机相关专业；
2、2年及以上前端开发经验，有移动端H5、PC Web、小程序等相关项目经验；
3、精通Javascript/CSS，熟悉 ES6 规范、熟悉TypeScrpt，熟练掌握Node.js、H5等web开发和优化技术；
4、熟练使用各种前端调试工具/性能分析工具，有vue/react任一种框架项目经验，拥有扎实的WEB安全知识基础
5、熟悉HTTP协议，熟练掌握Linux系统、常规shell处理命令；掌握至少一种数据库开发技术：Mysql、PostgreSQL等；
6、熟练使用grunt/webpack任一种工程化框架，;
7、具备良好的学习能力、沟通能力，解决问题能力、责任心强；
8、具备良好的编程习惯和编码风格，对技术有热情，关注新技术发展及落地。
9、熟悉任意一种后台开发语言(nodejs/go/php)优先",2020年06月19日,技术
北京,"熟悉教育行业业务，并能对在线教育平台业务架构组成进行需求分析，同时能针对云计算产品规划出云解决方案，针对云上架构进行优化设计；
从网络、服务器、数据中心等不同层面设计传统企业上云的服务架构，提供IaaS/SaaS/PaaS/DaaS不同层级的解决方案；
确保重点项目的拆解和落地，推进项目实施以及解决方案可复制，推动跨部门合作，推动架构和产品优化；
了解行业技术发展变革方向，能针对云服务特点在行业解决方案上有前瞻性布局。",CSIG02-腾讯云教育行业方案架构师（深圳/北京/上海）（北京）,"本科或以上学历，有5年以上服务端开发、运维经验，熟悉Java/Scala/Python/PHP/C/C++至少一种开发语言以及对应开发框架，熟悉高并发处理机制，有海量业务的架构、研发、运维、优化经验；
有成功的传统企业系统的大型应用经验，有面向客户沟通交流、调研需求、宣讲架构的能力，物联网经验优先；
熟悉Hadoop、Mysql、PostgreSQL、NoSQL、Oracle、Teradata、DB2等数据库中至少一种数据中心建设方案，可以进行产品的独立部署、高可用架构和性能优化，熟悉开源社区解决方案。
熟悉网络架构、虚拟化、分布式存储，深入理解IT基础设施领域，如服务器、网络设备的技术和架构，有IT交付经验优先；
具备团队合作经验，学习能力强，抗压能力强；
具备良好的文档能力，善于总结沟通，清晰表达技术观点和架构意图，能熟练的编写技术文档；
有一定的项目管理经验，能进行需求管理、期望管理、团队协作管理，有和ISV管理合作经验优先；
有PMP认证优先。  通过腾讯云技术认证或同等资格认证的优先录取。",2020年06月22日,技术
深圳,"负责政企云解决方案和产品的设计和开发，对产品研发和项目执行过程提供技术支持和方向把控
协助交付、运营团队，保障产品服务和运营的稳定性",25664-政务应用开发工程师,"计算机、数学相关专业本科以上学历； 
5年以上开发工作经验，3年以上架构设计经验； 
对复杂业务具有良好的理解能力；
扎实的前端功底，精通vue angularjs等常用前端框架；
熟悉分布式业务系统的设计与开发，具有丰富的架构设计经验，熟悉java、golang , php,或 nodejs等开发技术，能够独立完成较大的业务模块； 
扎实的编程基础，对各层常用开源的框架有深入的了解，对框架本身有过开发或重构者可优先考虑；
熟悉业界常见的spring cloud, istio等微服务框架。",2020年06月26日,技术
西安,"1、负责腾讯云 IDaaS 产品的前端架构设计和需求开发工作；
2、负责 IDaaS 相关运营工具的建设。",22989-腾讯云 IDaaS 产品前端开发工程师(腾讯云全资子公司),"1、本科及以上学历，3 年以上相关工作经验；
2、精通 JavaScript、HTML 和 CSS，具备移动 web 开发经验，对前端性能优化和浏览器的行 为机制有一定的理解，有 reactjs/es6 等开发经验者优先考虑；
3、熟悉 TCP/HTTP 的基本原理，熟悉 Linux 操作系统，具备 PHP 或 NodeJS 的开发经验；
4、有强烈的上进心和责任感，具备较强推动力，善于沟通表达，有良好的团队合作精神；
5、对前端开发工作富有激情，能积极学习业界新技术并运用推广。

注:此岗位为腾讯集团旗下全资子公司编制岗位",2020年06月27日,技术
深圳,"负责腾讯云CDN运营支持系统的建设和研发工作，确保相关系统稳定可靠运行；
参与CDN运营系统的需求分析、评审、开发和数据运营工作，为计费/成工作决策提供数据支撑。",22989-CDN运营开发工程师,"本科以上学历，计算机或相关专业；
3年以上相关工作经验；
精通Web后台开发语言至少一种（PHP、Python、C++）,有一定的架构能力和良好代码规范；
熟悉linux/unix系统与开发环境；
熟悉mysql以及SQL语言；
责任感强、有较强的逻辑思维能力、沟通能力和抗压能力；
",2020年06月29日,技术
重庆,"负责服务器端研发维护工作，保障系统稳定性；
负责产品安全策略的制定；
负责产品后台功能模块的开发和维护，根据相关需求对功能性进行调整。
（备注：该岗位为腾讯集团旗下全资子公司编制）",25664-golang后台开发工程师(腾讯云全资子公司)（重庆）,"熟悉GO编程语言；了解PHP、nodejs、java等其它语言者优先
熟悉web开发技术：Linux操作系统，web服务器，常见数据库和协议、架构、存储、缓存、安全，隐私，消息队列，API设计等
善于不断学习和运用新知识，具有良好的代码风格，具有良好的分析和解决问题能力
具有良好的团队合作精神、自我驱动力、乐观积极和抗压能力强
具有以下条件者优先：
有大流量web系统研发经验
有大型企业/政务应用开发经验
（备注：该岗位为腾讯集团旗下全资子公司编制）
",2020年07月02日,技术
