job_add,job_duty,job_name,job_require,job_time,job_type
北京,"负责分布式爬虫后台的技术研发；
负责图文，短视频等数据的清洗，过滤，相似聚合等工作；
参与项目的架构设计、评审、技术攻坚及优化。",30359-后台开发高级工程师(北京),"计算机相关专业本科以上学历，三年以上开发工作经验；
精通C/C++，Python和Golang任意一种语言，熟悉Linux/Unix平台开发，至少熟悉一种脚本语言；
精通TCP/IP与HTTP等网络协议相关知识，精通网络编程和多线程/多进程开发;
熟悉Mysql数据库开发，熟悉NoSQL，如memcache/redis;
具有海量数据处理经验，有大规模爬虫系统设计经验优先;
软件知识结构全面，基本功扎实;
良好的团队合作能力，善于沟通，有较好的抗压能力，热爱开发事业。",2020年05月06日,技术
深圳,负责腾讯统一商品库的搭建，支持腾讯广告、智慧零售等业务；负责商品中台的高性能后台服务开发，需要参与后台架构设计和性能稳定优化；负责通用业务组件的开发和维护,26699-智慧零售后台开发工程师,"本科及以上学历，计算机软件或相关专业；
熟练运用Java、并具备Nodejs或Python语言开发能力，3年以上开发经验；
熟悉LINUX/UNIX开发环境，熟悉网络开发与后台开发模式；
熟悉Mysql/PostgreSQL等数据库运用、管理以及开发；
具有网络爬虫，结构化数据提取，数据分析等使用/开发经验者优先；
具备优秀的分析解决问题的能力，具有较强的任务跟进与推动能力；
具有良好的沟通能力与团队合作精神；
对智慧零售工作有持续的热忱和激情。",2020年05月14日,技术
深圳,"负责搜索产品功能的开发及持续优化及搜索相关的后台服务开发
负责分布式数据爬虫系统的开发及持续优化；
负责数据预处理索引检索等相关系统的开发。
负责对外接口的开发与跨团队项目的协调推进；
参与腾讯医疗搜索架构的优化设计、开发和性能调优。",21882-腾讯医疗搜索后台开发,"5年以上工作经验，计算机基础扎实，熟练掌握go和python编程，代码简洁清晰；
有高并发服务开发经验者优先；
熟悉mysql/nosql的开发，有了解常用大数据基础组件的使用/原理者优先，如kafka/hadoop/hive/spark/ETL等；
熟悉搜索引擎的系统架构， 对索引检索的流程有较好的认知，或者具有较强的学习能力； 
对前端cgi开发，css/js 开发有一定认知和经验。
有较好的自主发现、分析、解决问题的能力，有数据驱动意识，推动业务发展；
对技术有热情，有较好的学习能力和责任心；
较好的沟通能力，团队协作意识，积极主动；",2020年06月03日,技术
深圳,"腾讯医疗在互联网领域不断创新发展，涉及的领域包括医疗健康资讯内容，医疗服务等等。包括但不限于腾讯医典及腾讯健康等脍炙人口的拳头产品。诚心邀请策略产品加入我们一起打造医疗用户画像，query理解，内容理解，内容质量衡量，召回排序策略等核心模块。
1、负责腾讯医疗内机器学习相关产品的策略制定；
2、通过对关键词，用户行为日志、用户session的分析/评测，优化用户画像；
3、理解用户在的搜索需求，找到用户搜索路径中的问题和优化方向；优化搜索框下拉推荐，关键词改写/纠错，关联搜索，搜索暗纹词/热词等功能，提升用户的搜索效率；
4、挖掘更多维度的内容和用户特征，建立全面客观的数据评价方法，为提高系统的数据指标和用户留存负责；
5、输出高质量的需求文档，跟进策略产品的推荐实施；
6、密切配合技术、运营团队,通过大量数据分析和调研发现问题,确定优化方向,促进核心指标达成；
7、负责制定机器学习产品质量衡量和监控体系。",21882-策略产品经理,"1、本科及以上学历，计算机、统计、数学、信息技术及相关专业；
2、5年左右工作经验，推荐策略、机器学习产品经验优先；
3、深入理解用户画像梳理、意图识别、知识图谱、网页文档处理；
4、对网络爬虫、网页质量分类有工作程度的理解；
5、对人工智能、机器学习、推荐算法在文本，语音处理的应用有所研究；
6、有strong product sense，data driven，结果导向，有强烈的好奇心和思考自驱力，热爱从现象到本质的思考；
7、良好的洞察能力和数据敏感度，善于从日常体验和数据逻辑推理中发现问题，并快速定位到问题根源；
8、抗压能力强，高效执行，善于自省和跨团队协作。",2020年06月04日,产品
深圳,负责智慧零售数据产品后台架构的设计和实现工作；,26699-智慧零售数据中心后台开发工程师,"本科及以上学历，计算机软件或相关专业； 
熟练运用Java、并具备Nodejs或Python语言开发能力，3年以上开发经验； 
熟悉LINUX/UNIX开发环境，熟悉网络开发与后台开发模式； 
具有网络爬虫，结构化数据提取，数据分析等使用/开发经验者优先； 
具备优秀的分析解决问题的能力，具有较强的任务跟进与推动能力； 
具有良好的沟通能力与团队合作精神； 
对智慧零售工作有持续的热忱和激情。
",2020年06月23日,技术
job_add,job_duty,job_name,job_require,job_time,job_type
成都,"负责游戏服务器端设计和开发工作；
负责服务器端逻辑功能的编写；
负责服务器端的架构设计与搭建与性能优化；
负责服务器相关工具的开发和维护；",15575-《王者荣耀》-高级后台开发工程师（成都）,"本科及以上学历，3年或以上Linux游戏后台开发经验；
熟练使用Linux下面g++，gdb，共享内存等开发工具；
熟练使用C++语言，理解流行的开发模式；
熟悉shell/python/lua/golang一种或以上语言；
具体较强的逻辑思考能力和debug能力；
对海量、高性能、分布式开发有经验者优先；
具备完整的网络游戏项目开发经验，有成功线上产品者优先；
熟悉游戏开发过程中的细节，具备优秀的分析解决问题能力和沟通协作能力；",2020年07月17日,技术
深圳,"负责腾讯重点业务在付费场景的运营活动、包括游戏微商店、积分商城、用户增长、业务运营（推荐）场景挖掘工作；
数据驱动、算法驱动策略开发工作，高效达成业务目标；
以数据挖掘、统计分析、机器学习、深度学习等技术，深入理解业务，驱动业务付费核心指标增长",TEG15-腾讯计费平台推荐算法高级工程师(深圳),"计算机、统计分析、机器学习等相关专业硕士及以上学历，5年以上相关工作经验；
熟悉数据分析、数据挖掘、机器学习、推荐系统相关技术，对业界前沿技术持续关注；
有大数据从业经验，具备数据处理和加工能力，有良好的数据思维和数据驱动意识；
熟悉常用数据处理工具，熟悉sql/scala/python三门语言，具备实际开发能力和解决问题的经验；
具备较强的学习能力，有责任心与进取心，有较强的团队合作能力，注重协作。",2020年07月14日,技术
西安,"负责腾讯对象存储/数据万象产品运营支撑平台、运维自动化平台及其组件的设计和开发； 
负责优化、改进运维支持系统，并保证其安全高效稳定的运行； 
参与运营平台、运维系统的需求分析、设计、编码； 负责开发、完善运维内部系统及辅助系统，提升运维质量及效率； 
通过技术手段控制和优化成本，提升资源使用率。",22989-存储后台开发工程师(腾讯云全资子公司),"精通一种或几种开发语言：PHP、C++、Java、python、Go； 
熟悉常用数据结构和算法，精通多线程编程和网络编程；
精通Unix/Linux操作系统、良好的编码规范；
熟悉MYSQL、mongodb或其他大型数据库，能够快速根据需求完成高性能数据库设计；
具有良好的学习能力、沟通能力、服务理念和合作精神； 强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长；
有以下经验者优先： 具有hadoop、spark、presto、kafka等大数据、运维自动化研发经验； 
有运维自动化、监控系统、发布系统、运营支撑系统等开发经验； 有大型分布式系统设计与开发经验。
 注：此岗位为腾讯集团旗下全资子公司编制岗位",2020年07月14日,技术
武汉,"岗位职责：
  1. 负责腾讯会议 C++ 跨平台的开发和维护；
  2. 负责腾讯会议平台效率工具建设。",22989-腾讯云视频会议客户端C++开发工程师（腾讯云全资子公司）,"任职要求：
  1. 计算机相关专业本科以上学历；
  2. 3 年以上 C++ 开发经验；
  3. 对 stl 等标准库有深入了解；
  4. 有 Windows，Mac，iOS，Android 开发经验的优先；
  5. 有 NodeJS，Python 等技术积累的优先；
  6. 编程基本功扎实，具有良好的代码风格；
  7. 工作态度积极，善于主动学习思考，责任心强，对技术有强烈兴趣；
  8. 思路严谨，具备良好的分析解决问题能力，能独立承担任务。

备注：此岗位为腾讯集团旗下全资子公司编制岗位",2020年07月14日,技术
