job_add,job_duty,job_name,job_require,job_time,job_type
广州,"负责企业微信Web前端开发和优化工作；
支持前端工程化建设，包括流程、规范、工具的建设等。",WXG10-企业微信web前端开发工程师-私有化（广州）,"熟练掌握JavaScript、HTML、CSS和HTTP协议等Web开发所需技能；
熟悉在线协作文档技术者优先；
熟悉并掌握常用的数据结构，有优秀的算法能力；
有优秀的分析、解决问题的能力；
有良好的责任心和主动性，良好的团队协作能力。",2020年07月14日,技术
深圳,负责增长平台的工具建设，结合不同端的数据仓库，将数据科学模型和模型以插件形式提供固化在的增长平台，提供平台化增长服务。,30359-灯塔-java-web后台开发工程师,"本科及以上学历，计算机相关专业或相关从业经验；
2年及以上java开发经验； 熟悉java技术，熟悉JVM、分布式缓存、消息队列、消息中间件、RPC框架、负载均衡等； 熟悉面向对象和设计模式，熟悉主流开源应用框架，如Spring、MyBatis、SpringMVC等应用框架并熟悉实现原理，掌握Maven、git等代码管理工具； 
熟悉分布式、多线程、高并发及高可用、设计、编码和调优；
熟悉常用的网络通信协议原理； 
熟练使用主流数据库和大数据架构，如mysql、hive、spark/pyspark、impala、clickhouse等；
熟悉Flink流式数据处理者优先；
对业界的机器学习和数据分析工作流有一定的了解；
有较好的沟通能力，工作责任心，自驱力和主动性，有在一定范围内独立驱动，负责，承担，解决相关问题的强烈意愿和能力。",2020年05月27日,技术
深圳,"- 负责腾讯会议产品VooV meeting 的WEB相关产品研发；
- 通过技术提升用户体验和可用性；
- 突破web多终端设备界限为更多用户群体提供随时随地的线上生活体验，提升产品的口碑和品牌受众。",GY0-腾讯会议海外Web开发工程师,"- 2年以上互联网 Web 产品研发经验，JS基础扎实优先；
- 要求对 React, ES6, Webpack 等有相关实践经验；
- 关注 Web 发展，对相关技术及其资料（ Vue, NodeJS, MVVM, MVC, Github, Blog,  Gulp，H5, CSS3 ）有学习和了解；",2020年06月04日,技术
深圳,"负责QQ游戏大厅的web前端开发和维护；
开发新页面，优化页面性能，重构页面；
根据产品需求提供最佳的技术实现方案。",32032-web前端开发工程师(深圳),"本科及以上学历，5年以上从事JavaScript开发的经历；
掌握HTTP协议相关知识，熟悉apache、nginx等，熟悉linux服务器操作；
能熟练使用React， Vue， jQuery等框架及类库；
熟悉各种常用web开发调试工具；
有使用grunt、gulp、webpack等工具进行前端工程化经验； 
掌握一门服务端脚本语言如PHP / Nodejs
熟悉Web性能优化, 有性能优化实践经验；
具有良好的代码风格、接口设计与程序架构意识；
具有良好的沟通能力和团队合作精神；
思路清晰，优秀的分析问题和解决问题的能力。",2020年06月09日,技术
北京,"负责腾讯云文旅相关产品web前端页面的开发，维护和优化工作； 
根据产品及开发需求完成高质量的编码和测试工作；
编写清晰的设计及接口文档，积极推动所负责业务模块的性能优化及需求落地；
协助行业解决方案团队，完成客户化方案对前端的技术要求与实现; 
负责移动端多端技术预研及应用及前沿技术学习研究和应用。",26381-智慧文旅web前端开发工程师（北京）,"本科以上学历，计算机相关专业，5年以上前端开发经验； 
熟练掌握至少一种前端开发框架(Vue/React/Angular)；
具备良好的沟通协调能力，分析解决问题的能力，能独立承担开发任务，系统把握项目进度的把控能力； 
工作积极主动，对产品有强烈的主人翁意识和责任感，重视用户体验； 
有大规模前端项目设计开发经验者优先；
熟悉大前端混合式技术、Nodejs技术经验者优先。",2020年06月18日,技术
深圳,"负责面向企业的应用/服务管理平台的模块设计和开发；
负责产品的开发和优化，保障产品交付的高质量顺利执行。",TEG06-hello前端-Web前端开发工程师,"1.计算机或相关专业、本科及以上学历，2年工作经验以上，基础扎实，熟悉常用的数据结构和算法，
2.精通Vuejs/微信小程序等编程语言中的一种或几种语言以及ES6语法；对前端页面优化有一定了解
3.熟悉Node.js/go等编程语言中的一种，有服务端编程经验； 
4.熟悉Web应用系统开发，对HTTP、TCP/IP协议及web服务器等有所理解；
5.具有较强的沟通能力与团队合作精神；具有良好的分析问题、解决问题的能力以及较强的学习能力 6.热爱分享，热衷折腾技术，拥抱开源技术，有技术博客撰写、优秀 Github 开源项目经历优先 。",2020年06月21日,技术
深圳,"1、负责腾讯云通信产品前端架构与业务开发；
2、负责工具、框架建设，追求更高研发效率；
3、负责对已有代码重构、性能优化、安全加固，提升用户体验；
4、负责项目技术难题攻关和新技术预研；",22989-云通信web前端开发工程师,"1、编程基本功扎实，熟练掌握JavaScript，熟悉常用前端框架（如jQuery, React等）；
2、熟悉CSS(3)，HTML(5)，Ajax等相关技术，具备一定跨浏览器开发经验；
3、具备良好的算法和数据结构相关知识，具备较强的模型抽象能力；
4、了解HTTP协议，能定位常见的HTTP协议相关故障；
5、了解基本的Web开发安全知识原理和防御；
6、对业界动态有自己的见解，爱学习爱分享，善沟通；",2020年06月24日,技术
深圳,"负责5G相关运营管理系统的前端开发和维护，参与产品的技术选型和调研； 
与产品经理、交互设计师一起讨论产品设计，与后台工程师合作制定最佳技术实现方案；
前沿技术学习研究和应用；",27455-Web前端开发工程师,"三年以上web开发经验及项目实践，前端JS与重构功底扎实；
熟悉bootstrap，vue，angularjs，reactjs等框架，至少熟练掌握一种或以上，对框架原理有一定的了解与认识；
理解web标准和兼容性，对可用性相关知识有实际的了解和实践经验；
熟悉http、https。对前端安全以及性能优化有一定的了解与认识；
熟悉webpack, gulp等前端构件工具的使用，在不使用脚手架的情况下能独立完成构建，熟悉git，svn等工具的使用；
对OOP有一定的认识；思路清晰，具备良好的沟通能力和团队协作精神；
有nodeJs开发经验者优先；",2020年06月29日,技术
深圳,"岗位职责：
1. 负责腾讯云域名产品（DNSPod）的系统开发
2. 负责域名管理相关功能的实现，包括域名注册、解析、证书等功能开发
3. 负责域名管理系统的架构规划、性能优化等工作
",22989-腾讯云域名产品WEB前端工程师,"1、熟悉Javasript/HTML/CSS等前端开发技术，基础扎实；
2、熟悉当下主流的前端框架(react/vue/angular等)，有react、redux开发经验优先；
3、熟悉Web应用系统开发，对HTTP、TCP/IP协议及web服务器等有所理解；拥有良好的安全意识，熟悉常见的网络安全攻防策略；
4、熟悉至少一门后台开发语言，有Node.js/PHP开发经验优先；
5、具有较强的沟通能力与团队合作精神，具有良好的分析问题、解决问题的能力以及较强的学习能力
6、有域名注册、解析、SSL证书等相关产品的技术研发经验优先；
  通过腾讯云技术认证或同等资格认证的优先录取。",2020年07月04日,技术
深圳,负责微信支付在境外的业务落地；负责微信支付境外商户平台、运营系统的开发。,28605-微信支付境外支付WEB前端开发,"本科以上学历，计算机软件或相关专业；
1年及以上开发工作经验；
软件知识结构全面，基础扎实，精通常用数据结构与算法；
熟悉MYSQL或其他大型数据库，能够快速根据需求完成高性能数据库设计，熟悉面向对象的开发方法，有网络系统的开发经验；
掌握JavaScript、html、css等前端基础知识；掌握VUE、React或Augular等前端开发框架；
熟悉http协议，了解浏览器工作原理；对交互设计和产品设计有一定敏感度；具有互联网Web业务开发经验；了解PHP开发者更优；
高度的责任心、良好的沟通技巧和团队合作精神，正直进取，有上进心，热爱开发事业。",2020年07月06日,技术
